time,close,open,high,low,volume
2016/08/19 06:00:00,100.256,99.919,100.471,99.887,30965
2016/08/22 06:00:00,100.335,100.832,100.944,100.221,32920
2016/08/23 06:00:00,100.253,100.339,100.405,99.95,26069
2016/08/24 06:00:00,100.46,100.27,100.619,100.104,22340
2016/08/25 06:00:00,100.546,100.464,100.627,100.314,17224
2016/08/26 06:00:00,101.876,100.584,101.956,100.073,41923
2016/08/29 06:00:00,101.928,102.13,102.402,101.851,26518
2016/08/30 06:00:00,102.983,101.943,103.145,101.762,27823
2016/08/31 06:00:00,103.434,103.024,103.54,102.869,27340
2016/09/01 06:00:00,103.246,103.462,104.006,103.072,30765
2016/09/02 06:00:00,103.992,103.293,104.33,102.815,47690
2016/09/05 06:00:00,103.461,104.144,104.186,103.156,29887
2016/09/06 06:00:00,102.034,103.456,103.816,101.941,37742
2016/09/07 06:00:00,101.752,102.077,102.15,101.212,37576
2016/09/08 06:00:00,102.5,101.758,102.609,101.424,35239
2016/09/09 06:00:00,102.745,102.48,103.07,101.977,40184
2016/09/12 06:00:00,101.86,102.618,102.682,101.575,42616
2016/09/13 06:00:00,102.569,101.897,102.755,101.431,41674
2016/09/14 06:00:00,102.441,102.612,103.367,102.259,40877
2016/09/15 06:00:00,102.102,102.455,102.771,101.953,40499
2016/09/16 06:00:00,102.301,102.107,102.472,101.768,35283
2016/09/19 06:00:00,101.939,102.17,102.43,101.589,23550
2016/09/20 06:00:00,101.733,101.943,102.072,101.548,25787
2016/09/21 06:00:00,100.349,101.716,102.798,100.312,111800
2016/09/22 06:00:00,100.778,100.363,100.938,100.107,32119
2016/09/23 06:00:00,101.05,100.788,101.258,100.685,30331
2016/09/26 06:00:00,100.346,101.077,101.141,100.256,26596
2016/09/27 06:00:00,100.453,100.341,100.994,100.097,37036
2016/09/28 06:00:00,100.705,100.466,100.826,100.271,27030
2016/09/29 06:00:00,101.064,100.701,101.851,100.67,38869
2016/09/30 06:00:00,101.403,101.059,101.804,100.756,38858
2016/10/03 06:00:00,101.665,101.275,101.707,101.224,24947
